trace_index,trace_is_fit,fitness,produced_tokens,consumed_tokens,missing_tokens,remaining_tokens
193,True,1.0,24,24,0,0
194,True,1.0,36,36,0,0
195,True,1.0,32,32,0,0
196,True,1.0,84,84,0,0
197,True,1.0,24,24,0,0
198,True,1.0,26,26,0,0
199,True,1.0,52,52,0,0
200,True,1.0,702,702,0,0
201,True,1.0,24,24,0,0
202,True,1.0,24,24,0,0
203,False,0.9969078540507111,4851,4851,15,15
204,True,1.0,30,30,0,0
205,False,0.9973357015985791,2252,2252,6,6
206,True,1.0,98,98,0,0
207,True,1.0,42,42,0,0
208,True,1.0,34,34,0,0
209,True,1.0,126,126,0,0
210,True,1.0,116,116,0,0
211,True,1.0,40,40,0,0
212,True,1.0,242,242,0,0
213,True,1.0,28,28,0,0
214,True,1.0,200,200,0,0
215,True,1.0,26,26,0,0
216,True,1.0,26,26,0,0
217,True,1.0,40,40,0,0
218,True,1.0,48,48,0,0
219,True,1.0,24,24,0,0
220,True,1.0,30,30,0,0
221,False,0.9975062344139651,401,401,1,1
222,True,1.0,62,62,0,0
223,True,1.0,34,34,0,0
224,True,1.0,32,32,0,0
225,True,1.0,50,50,0,0
226,True,1.0,40,40,0,0
227,True,1.0,28,28,0,0
228,True,1.0,36,36,0,0
229,True,1.0,32,32,0,0
230,True,1.0,34,34,0,0
231,True,1.0,216,216,0,0
232,True,1.0,28,28,0,0
233,True,1.0,34,34,0,0
234,True,1.0,28,28,0,0
235,True,1.0,40,40,0,0
236,False,0.9897039897039897,1554,1554,16,16
237,True,1.0,28,28,0,0
238,True,1.0,40,40,0,0
239,True,1.0,68,68,0,0
240,True,1.0,32,32,0,0
241,True,1.0,24,24,0,0
242,True,1.0,62,62,0,0
243,True,1.0,50,50,0,0
244,True,1.0,38,38,0,0
245,False,0.9944838455476753,1269,1269,7,7
246,True,1.0,32,32,0,0
247,True,1.0,26,26,0,0
248,True,1.0,24,24,0,0
249,True,1.0,252,252,0,0
250,True,1.0,28,28,0,0
251,True,1.0,30,30,0,0
252,True,1.0,28,28,0,0
253,True,1.0,520,520,0,0
254,True,1.0,34,34,0,0
255,True,1.0,28,28,0,0
256,True,1.0,114,114,0,0
257,True,1.0,26,26,0,0
258,True,1.0,32,32,0,0
259,True,1.0,24,24,0,0
260,True,1.0,24,24,0,0
261,True,1.0,88,88,0,0
262,True,1.0,42,42,0,0
263,True,1.0,52,52,0,0
264,True,1.0,26,26,0,0
265,False,0.9782608695652174,92,92,2,2
266,True,1.0,166,166,0,0
267,True,1.0,1430,1430,0,0
268,True,1.0,26,26,0,0
269,True,1.0,26,26,0,0
270,True,1.0,24,24,0,0
271,True,1.0,86,86,0,0
272,False,0.9890955740859525,1559,1559,17,17
273,True,1.0,24,24,0,0
274,True,1.0,26,26,0,0
275,True,1.0,30,30,0,0
276,True,1.0,28,28,0,0
277,True,1.0,568,568,0,0
278,True,1.0,30,30,0,0
279,False,0.9846153846153847,715,715,11,11
280,True,1.0,26,26,0,0
281,True,1.0,30,30,0,0
282,False,0.9743589743589743,234,234,6,6
283,True,1.0,30,30,0,0
284,True,1.0,34,34,0,0
285,True,1.0,34,34,0,0
286,True,1.0,30,30,0,0
287,True,1.0,40,40,0,0
288,True,1.0,24,24,0,0
289,False,0.9487179487179487,78,78,4,4
290,True,1.0,30,30,0,0
291,True,1.0,304,304,0,0
292,True,1.0,66,66,0,0
293,True,1.0,20,20,0,0
294,True,1.0,34,34,0,0
295,True,1.0,30,30,0,0
296,True,1.0,498,498,0,0
297,True,1.0,26,26,0,0
298,True,1.0,26,26,0,0
299,True,1.0,28,28,0,0
300,True,1.0,28,28,0,0
301,True,1.0,36,36,0,0
302,True,1.0,140,140,0,0
303,True,1.0,24,24,0,0
304,False,0.9834983498349835,909,909,15,15
305,True,1.0,142,142,0,0
306,True,1.0,38,38,0,0
307,True,1.0,26,26,0,0
308,True,1.0,24,24,0,0
309,True,1.0,60,60,0,0
310,True,1.0,26,26,0,0
311,True,1.0,32,32,0,0
312,True,1.0,142,142,0,0
313,True,1.0,24,24,0,0
314,False,0.9958734525447043,727,727,3,3
315,True,1.0,24,24,0,0
316,True,1.0,48,48,0,0
317,True,1.0,30,30,0,0
318,True,1.0,30,30,0,0
319,True,1.0,238,238,0,0
320,False,0.9957007738607051,2326,2326,10,10
321,True,1.0,24,24,0,0
322,True,1.0,86,86,0,0
323,True,1.0,34,34,0,0
324,True,1.0,94,94,0,0
325,True,1.0,56,56,0,0
326,True,1.0,66,66,0,0
327,True,1.0,74,74,0,0
328,True,1.0,28,28,0,0
329,True,1.0,26,26,0,0
330,True,1.0,82,82,0,0
331,True,1.0,28,28,0,0
332,True,1.0,96,96,0,0
333,True,1.0,118,118,0,0
334,True,1.0,222,222,0,0
335,True,1.0,24,24,0,0
336,True,1.0,178,178,0,0
337,True,1.0,46,46,0,0
338,True,1.0,28,28,0,0
339,True,1.0,24,24,0,0
340,True,1.0,26,26,0,0
341,True,1.0,82,82,0,0
342,True,1.0,46,46,0,0
343,True,1.0,30,30,0,0
344,True,1.0,256,256,0,0
345,True,1.0,32,32,0,0
346,True,1.0,34,34,0,0
347,True,1.0,32,32,0,0
348,True,1.0,32,32,0,0
349,True,1.0,36,36,0,0
350,False,0.9945205479452055,730,730,4,4
351,True,1.0,208,208,0,0
352,True,1.0,24,24,0,0
353,True,1.0,74,74,0,0
354,False,0.9984202211690363,1266,1266,2,2
355,True,1.0,30,30,0,0
356,True,1.0,38,38,0,0
357,True,1.0,40,40,0,0
358,True,1.0,28,28,0,0
359,True,1.0,30,30,0,0
360,True,1.0,54,54,0,0
361,True,1.0,42,42,0,0
362,True,1.0,30,30,0,0
363,True,1.0,38,38,0,0
364,True,1.0,28,28,0,0
365,True,1.0,34,34,0,0
366,True,1.0,42,42,0,0
367,True,1.0,26,26,0,0
368,True,1.0,26,26,0,0
369,True,1.0,28,28,0,0
370,False,0.994848311390956,1747,1747,9,9
371,True,1.0,68,68,0,0
372,True,1.0,28,28,0,0
373,True,1.0,46,46,0,0
374,True,1.0,26,26,0,0
375,True,1.0,46,46,0,0
376,True,1.0,32,32,0,0
377,True,1.0,38,38,0,0
378,True,1.0,30,30,0,0
379,True,1.0,26,26,0,0
380,True,1.0,32,32,0,0
381,True,1.0,24,24,0,0
382,True,1.0,36,36,0,0
383,True,1.0,26,26,0,0
384,False,0.9966394623139703,4166,4166,14,14
385,True,1.0,72,72,0,0
386,True,1.0,28,28,0,0
387,True,1.0,34,34,0,0
388,True,1.0,120,120,0,0
389,True,1.0,178,178,0,0
390,True,1.0,24,24,0,0
391,True,1.0,28,28,0,0
392,True,1.0,26,26,0,0
393,True,1.0,84,84,0,0
394,True,1.0,1288,1288,0,0
395,True,1.0,1356,1356,0,0
396,True,1.0,60,60,0,0
397,True,1.0,90,90,0,0
398,True,1.0,158,158,0,0
399,True,1.0,26,26,0,0
400,True,1.0,112,112,0,0
401,True,1.0,24,24,0,0
402,True,1.0,30,30,0,0
403,True,1.0,32,32,0,0
404,True,1.0,24,24,0,0
405,True,1.0,86,86,0,0
406,True,1.0,24,24,0,0
407,True,1.0,32,32,0,0
408,True,1.0,54,54,0,0
409,True,1.0,34,34,0,0
410,True,1.0,34,34,0,0
411,True,1.0,34,34,0,0
412,True,1.0,60,60,0,0
413,True,1.0,60,60,0,0
414,True,1.0,38,38,0,0
415,True,1.0,26,26,0,0
416,True,1.0,56,56,0,0
417,True,1.0,32,32,0,0
418,False,0.9906542056074766,107,107,1,1
419,True,1.0,28,28,0,0
420,True,1.0,68,68,0,0
421,True,1.0,30,30,0,0
422,True,1.0,82,82,0,0
423,True,1.0,24,24,0,0
424,True,1.0,56,56,0,0
425,True,1.0,42,42,0,0
426,True,1.0,516,516,0,0
427,False,0.9738430583501007,497,497,13,13
428,True,1.0,854,854,0,0
429,True,1.0,36,36,0,0
430,True,1.0,28,28,0,0
431,True,1.0,48,48,0,0
432,True,1.0,186,186,0,0
433,True,1.0,28,28,0,0
434,True,1.0,38,38,0,0
435,True,1.0,50,50,0,0
436,True,1.0,24,24,0,0
437,True,1.0,32,32,0,0
438,True,1.0,36,36,0,0
439,False,0.9850746268656716,536,536,8,8
440,True,1.0,102,102,0,0
441,True,1.0,30,30,0,0
442,True,1.0,292,292,0,0
443,True,1.0,34,34,0,0
444,True,1.0,24,24,0,0
445,True,1.0,30,30,0,0
446,True,1.0,40,40,0,0
447,True,1.0,32,32,0,0
448,True,1.0,76,76,0,0
449,True,1.0,28,28,0,0
450,False,0.9937106918238994,159,159,1,1
451,True,1.0,38,38,0,0
452,True,1.0,52,52,0,0
453,True,1.0,42,42,0,0
454,True,1.0,62,62,0,0
455,True,1.0,30,30,0,0
456,True,1.0,64,64,0,0
457,True,1.0,32,32,0,0
458,True,1.0,34,34,0,0
459,True,1.0,24,24,0,0
460,True,1.0,28,28,0,0
461,True,1.0,30,30,0,0
462,True,1.0,58,58,0,0
463,True,1.0,46,46,0,0
464,True,1.0,46,46,0,0
465,True,1.0,24,24,0,0
466,True,1.0,28,28,0,0
467,False,0.9899941141848146,1699,1699,17,17
468,True,1.0,28,28,0,0
469,True,1.0,42,42,0,0
470,True,1.0,26,26,0,0
471,True,1.0,30,30,0,0
472,True,1.0,28,28,0,0
473,True,1.0,90,90,0,0
474,True,1.0,22,22,0,0
475,True,1.0,40,40,0,0
476,True,1.0,42,42,0,0
477,True,1.0,32,32,0,0
478,True,1.0,26,26,0,0
479,True,1.0,508,508,0,0
480,True,1.0,56,56,0,0
481,True,1.0,42,42,0,0
482,True,1.0,202,202,0,0
483,True,1.0,26,26,0,0
484,True,1.0,26,26,0,0
485,True,1.0,294,294,0,0
486,True,1.0,36,36,0,0
487,True,1.0,42,42,0,0
488,True,1.0,70,70,0,0
489,True,1.0,26,26,0,0
490,True,1.0,118,118,0,0
491,True,1.0,30,30,0,0
492,True,1.0,24,24,0,0
493,True,1.0,58,58,0,0
494,True,1.0,36,36,0,0
495,True,1.0,34,34,0,0
496,True,1.0,106,106,0,0
