Variant,Frequency
"('תכנון - בקרת כ""א',)",665
"('החלטת מנכ""ל - גיוס',)",653
"('המלצת גיוס של אגף משאבי אנוש',)",648
"('המלצת איוש ואופן גיוס',)",647
"('המלצת תקציב לגיוס',)",644
"('אישור קביעת מועד ועדה עבור הליך גיוס - מכרז',)",569
"('אישור מנהל אגף',)",493
"('אישור מנהל מחלקה',)",491
"('אישור ראש מינהל',)",490
"('נתוני תנאי שרות להדמייה',)",479
"('דיווח הדמיית שכר',)",428
"('אישור סיום נוסח מכרז',)",407
"('אישור נוסח מכרז ע""י מנהל היחידה המבקשת (אגף)',)",384
"('אישור מיון וסינון מועמדים',)",372
"('החלטת גיוס גזבר',)",372
"('אישור יידוע נוסח המכרז נציג ועד העובדים',)",371
"('מכרז פנימי לפרסום',)",354
"('בדיקת התכנות תשלום שכר עידוד',)",333
"('דיווח בדיקת התאמה',)",264
"('פרסום מודעת דרושים',)",228
