activity,mean,median,std,max
"חוזה נחתם ע""י כל הגורמים",36.59997608024692,23.400694444444444,35.62249177373454,124.98991898148148
"החלטת ועדת מכרזים - התאמת מועמדים (מכרז פנימי) - מלבד רמ""ד",33.492384118112014,27.015266203703703,35.15918272590765,259.27092592592595
אישור קביעת מועד ועדה עבור הליך גיוס - מכרז,32.67451955685109,22.284374999999997,36.97524310357415,288.47038194444445
החלטת ועדת מכרזים (מכרז חיצוני + פנימי),31.555418788580248,28.233015046296295,26.600896517721033,130.22708333333333
החלטת הועדה - התאמת מועמדים - ללא מכרז,21.227091104497354,18.17584490740741,25.75254412354674,152.07185185185185
"אישור טיפול במינוי קרובי משפחה - מלבד רמ""ד",19.495270310633217,7.045902777777778,30.41117489311231,138.0938888888889
מינוי מועמד לפי בחירת ועדת מכרזים,16.80004858065302,6.064126157407407,25.396372446485714,132.7097222222222
המלצת תקציב לגיוס,16.15439467216811,2.851273148148148,38.304195458081374,344.17469907407406
אישור הכנת מפרט + פרסום,15.450124158249157,5.279513888888889,29.041814925220347,218.4365162037037
"החלטת מנכ""ל - גיוס",12.407103382910469,0.34012731481481484,30.748207034689507,182.16185185185185
דיווח הדמיית שכר,11.457784844640313,2.2066377314814813,26.008715602491126,192.23481481481483
אישור יידוע נוסח המכרז נציג ועד העובדים,11.161600306431072,6.9437037037037035,16.103133435315858,148.19583333333333
מכרז פנימי לפרסום,11.143539640345093,4.7405787037037035,28.529688982219024,203.47063657407406
אישור טיפול במינוי קרובי משפחה,10.44568287037037,3.0221412037037036,16.065319153945936,50.23888888888889
פרסום מודעת דרושים,10.18411588825345,1.9427083333333335,27.62068463944678,234.78457175925925
"אישור נוסח מודעת דרושים ע""י מנהל היחידה המבקשת (מינהל)",8.064339313271605,2.8007233796296296,18.909471949159887,66.87793981481481
אישור סיום נוסח מכרז,7.590787575366064,1.0205092592592593,23.670432169380735,182.22046296296296
אישור הכנת מפרט למודעת דרושים,6.871721643518518,1.542355324074074,17.422553569705173,108.12291666666667
"תכנון - בקרת כ""א",6.7670651819220105,1.917216435185185,13.291148854689212,117.3185300925926
"אישור נוסח מכרז ע""י מנהל היחידה המבקשת (מינהל)",6.032454157588961,0.9805555555555555,14.333882239739689,88.72162037037037
"אישור נוסח מודעת דרושים ע""י מנהל היחידה המבקשת (אגף)",4.3929175135501355,0.20747685185185186,15.357817777732318,141.8588773148148
"אישור נוסח מכרז ע""י מנהל היחידה המבקשת (אגף)",3.7205759088278616,0.1677662037037037,11.822041054325194,135.11782407407406
"אישור שליחת כתב זכיה בדוא""ל",3.391078877937077,1.0183564814814814,5.994651171845254,29.184178240740742
"אישור שליחת כתב זכיה בדוא""ל - מלבד רמ""ד",3.314949707892416,1.0482870370370372,6.60082091030799,41.82392361111111
אישור ראש מינהל,3.2590921181274446,0.11527777777777778,13.316495335304186,150.82361111111112
אישור מנהל אגף,3.0184454887579886,0.05952546296296296,14.808020338308927,177.18766203703703
המלצת גיוס של אגף משאבי אנוש,2.966454630475997,0.035416666666666666,12.918073320026112,168.20763888888888
נתוני תנאי שרות להדמייה,2.359298094364296,0.26336805555555554,6.235448589127118,76.02083333333333
החלטת גיוס גזבר,2.2298048519044613,0.9743055555555555,5.363192645260294,80.00472222222223
המלצת איוש ואופן גיוס,2.197840872172012,0.329537037037037,8.753814522493109,119.78055555555555
אישור מיון וסינון מועמדים,0.8547089629120879,0.13549768518518518,1.8506564409249175,12.191006944444444
בדיקת התכנות תשלום שכר עידוד,0.7141253874582737,0.04601851851851852,2.5769268825068514,27.016666666666666
אישור פרסום מכרז חיצוני,0.671390213632307,0.17865162037037036,1.0301064679897,5.364467592592592
מידע תכנוני,0.6260966435185186,0.05884837962962963,1.0668792098585762,3.140277777777778
Unknown Stage,0.6203137605427209,0.002777777777777778,4.426822400794285,74.93961805555556
דיווח בדיקת התאמה,0.30264152545402545,0.0011921296296296296,1.5232530943725826,16.059444444444445
אישור מנהל מחלקה,0.16880889486975015,0.0001273148148148148,3.377195630924331,69.04444444444445
אישור הכנת מפרט- דרושים פטור ממכרז,0.0028587962962962963,0.0028587962962962963,,0.0028587962962962963
אישור גיוס - החלטת הועדה,,,,
החלטת לשכת ראש העיר,,,,
"חוזה בכירים נחתם ע""י כל הגורמים",,,,
ניוד העובד לתפקיד,,,,
